Solution,Cosine,BERT,File
Baseline,0.1330216489713922,0.7885807156562805,10_HBMS.docx
Baseline,0.8949415260450356,0.9284622669219972,07_OTS.docx
Baseline,0.5769669116667008,0.7538182735443115,06_SHAS.docx
Baseline,0.9140696378784384,0.9143266081809998,01_BTMS.docx
Baseline,0.963586667539274,0.9484411478042604,03_LabTracker.docx
Baseline,0.9213580251909336,0.9446905255317688,04_CelO.docx
Baseline,0.72972813912903,0.7764701843261719,09_TileO.docx
Baseline,0.7752352723176507,0.7551581263542175,02_H2S.docx
Baseline,0.8607945742365118,0.9378297924995422,05_TSS.docx
Baseline,0.5772750667578856,0.7854979634284973,08_Block.docx
