File,Solution,Cosine,BERT
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.7591098545287434
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.7851524147711184
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.7756864359549109
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.7816164416947908
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.7748975653973093
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.7515217058028945
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9006092085438826
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.8977004183137539
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9233237451766332
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9234754252151834
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9220398770833956
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9246327979931216
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9078202260050314
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.909862350093659
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9130720264742598
10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9113589781086348
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.9102502798370156
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.9096209599003068
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.8789880841653022
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.8836895655948481
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.901151764394192
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.879848264599706
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.908087677763356
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.8827754514957904
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.9101622233094254
07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.894827357972744
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7613871608223363
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.771882820767387
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7679372339726664
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7636862123922782
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7625017444436426
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7644610009745886
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7860708654233912
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.7940068488384281
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.775746720812829
07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.763198845129664
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.8020262075187046
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.806628431704706
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.7876281068434143
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.7892045257675465
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.8066808856293453
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.7789496067880995
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.8048612211135932
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.7887485423434382
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.7821494379644576
07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.7734743119790243
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8398854923420558
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8725400048249121
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.871477779498766
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8640536244968211
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.848588585390492
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8449692158961357
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8588023700263987
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8633372966677398
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8402261350790314
07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.8614588566520154
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8868959823213118
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8661461699878307
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8731684305211292
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8532872809719251
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8690360018585924
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8712023179683819
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8511776911624985
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8726224042812573
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8561645844231366
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.8711947626693108
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8007021461049937
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.817428409869789
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8059264994372639
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8170436651353792
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8245937103813242
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8212864112835121
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8314399832558802
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.7996967546589043
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.7968250621626799
07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.8262580305873525
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8385169573802407
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8579363419248701
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8689393657815352
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8683933024759819
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8600559301423047
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8665397410279738
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8437056177676563
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.841261650688724
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8584834730864577
06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.8731663684858307
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8686259638136988
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8619526942069387
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8901550406076687
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8528557651117689
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8909641555441243
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8868744703728503
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8856485259285783
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8594667254350052
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8897350062005464
06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.8832416371201464
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8643250626305676
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8734418339085
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.849256717116652
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8719800525285286
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8652524821455788
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8683904193468377
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.87317791709676
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8434533357773176
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8517262217517294
06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.8505860854078755
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7557900076617596
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7534251255615836
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7714525252752215
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7748506030431218
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7870259876079182
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7583545246618428
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7576389537939661
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7845520006982958
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7667188752004905
06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.7668431786541333
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8433354167921395
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8617157132562504
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8417441019593576
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.866863482735701
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8406555038145004
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8630420918972125
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8557843454248465
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8504441169671529
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.8614604348661219
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.85012192523438
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.938122562893788
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9348133097682536
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.937424683169154
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.904358109834133
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9106435576710332
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9238584159711618
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.932878730937172
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9363067605384492
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9130790093546356
06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9320850222169268
01_BTMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6901126,0.8503217565024567
01_BTMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6901126,0.8618648132757759
01_BTMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6901126,0.8650526713873763
01_BTMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6901126,0.8527157030562674
01_BTMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6901126,0.8507832328631477
