,File,Parameters_experiment,Cosine Similarity_experiment,Text Cosine Similarity_experiment,BERT F1_experiment,Cosine Similarity_baseline,Text Cosine Similarity_baseline,BERT F1_baseline,Cosine Difference,Text Cosine Difference,BERT F1 Difference
0,10_HBMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8530656,0.6618114642005526,0.9028752446174622,0.66817504,0.4010045968371526,0.795991837978363,0.18489055999999993,0.2608068673634,0.10688340663909912
1,10_HBMS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.672482,0.5763403499368276,0.8103311657905579,0.66817504,0.4010045968371526,0.795991837978363,0.004306959999999971,0.17533575309967497,0.014339327812194824
2,10_HBMS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6986574,0.1730218013970978,0.7995656728744507,0.66817504,0.4010045968371526,0.795991837978363,0.03048235999999993,-0.22798279544005481,0.0035738348960876465
3,10_HBMS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8651811,0.4355169404284163,0.8673273921012878,0.66817504,0.4010045968371526,0.795991837978363,0.19700605999999998,0.034512343591263706,0.0713355541229248
4,10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.39454484,0.5432388974626666,0.7695754766464233,0.66817504,0.4010045968371526,0.795991837978363,-0.27363020000000005,0.142234300625514,-0.026416361331939697
5,10_HBMS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8073535,0.9152980703262796,0.9119552373886108,0.66817504,0.4010045968371526,0.795991837978363,0.1391784599999999,0.514293473489127,0.1159633994102478
6,07_OTS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7124399,0.7396543338775363,0.8981755375862122,0.7286991,0.4209011623250415,0.8745702505111694,-0.01625920000000003,0.31875317155249483,0.023605287075042725
7,07_OTS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.53531283,0.0675376051556405,0.7776046395301819,0.7286991,0.4209011623250415,0.8745702505111694,-0.19338627000000008,-0.353363557169401,-0.09696561098098755
8,07_OTS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.35312945,0.0491013077620912,0.7886616587638855,0.7286991,0.4209011623250415,0.8745702505111694,-0.37556965000000003,-0.3717998545629503,-0.08590859174728394
9,07_OTS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.73479867,0.4673242978405278,0.8559610247612,0.7286991,0.4209011623250415,0.8745702505111694,0.006099569999999943,0.046423135515486325,-0.018609225749969482
10,07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6510274,0.6688808504552979,0.8684264421463013,0.7286991,0.4209011623250415,0.8745702505111694,-0.07767170000000001,0.2479796881302564,-0.006143808364868164
11,07_OTS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.64454967,0.1392490503309467,0.8138549327850342,0.7286991,0.4209011623250415,0.8745702505111694,-0.08414943000000008,-0.2816521119940948,-0.060715317726135254
12,06_SHAS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.69739795,0.3484615357499021,0.8563064336776733,0.77477235,0.3083409901970661,0.8626474738121033,-0.07737439999999995,0.04012054555283595,-0.006341040134429932
13,06_SHAS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.76436186,0.6256866761846047,0.8727954626083374,0.77477235,0.3083409901970661,0.8626474738121033,-0.01041049000000005,0.3173456859875386,0.01014798879623413
14,06_SHAS.docx,"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.53490233,0.3585102392085358,0.8548316359519958,0.77477235,0.3083409901970661,0.8626474738121033,-0.23987002000000002,0.050169249011469685,-0.007815837860107422
15,06_SHAS.docx,"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.644241,0.0373051041449093,0.7681739330291748,0.77477235,0.3083409901970661,0.8626474738121033,-0.13053135000000005,-0.27103588605215684,-0.09447354078292847
16,06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7153329,0.6223845609968901,0.8569628596305847,0.77477235,0.3083409901970661,0.8626474738121033,-0.05943944999999995,0.314043570799824,-0.005684614181518555
17,06_SHAS.docx,"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.8334954,0.9388119923439034,0.9208948612213136,0.77477235,0.3083409901970661,0.8626474738121033,0.05872305,0.6304710021468374,0.058247387409210316
18,01_BTMS.docx,"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.6901126,0.6100219780869707,0.8600980043411255,0.62042594,0.1890248530076861,0.7885132431983948,0.06968666000000001,0.42099712507928455,0.07158476114273071
19,01_BTMS.docx,"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.42895865,0.2688068111546106,0.8487136363983154,0.62042594,0.1890248530076861,0.7885132431983948,-0.19146728999999996,0.07978195814692449,0.060200393199920654
